route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
3,2026_01_12-DX-MVS-Weekday-001,1842169,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842356,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842170,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842357,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842171,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842358,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842172,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842359,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842173,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842360,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842174,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842362,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842175,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842363,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842176,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842364,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842177,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842361,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842178,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842365,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842179,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842366,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842180,"OAK Airport / Richmond",0,,003C_shp,,1,1
4,2026_01_12-DX-MVS-Weekday-001,1842367,"OAK Airport / Berryessa/North San Jose",1,,004A_shp,,1,1
3,2026_01_12-DX-MVS-Weekday-001,1842181,"OAK Airport / Richmond",0,,003C_shp,,1,1
